en,pt-br,pos,description
"United Kingdom","Reino Unido",noun,país
"United States","Estados Unidos",noun,país
update,atualizar,verb,
update,atualização,noun,
updated,atualizado,verb,
upload,enviar,noun,
upload,enviar,verb,
URL,URL,noun,masculino
url,URL,noun,"Masculino e em letras maiúsculas, porque é uma sigla"
Uruguay,Uruguai,noun,país
user,usuário,noun,
User,usuário,noun,
username,"nome de usuário",noun,
users,usuários,noun,
Users,usuários,noun,
Uzbekistan,Usbequistão,noun,país
Vanuatu,Vanuatu,noun,país
"Vatican City","Cidade do Vaticano",noun,país
Venezuela,Venezuela,noun,país
"Venezuelan bol&iacute;var","Bolívar venezuelano",noun,"Moeda da Venezuela"
Vietnam,Vietnã,noun,país
"Vietnamese Dong","Dong vietnamita",noun,"Moeda do Vietnã"
view,visualização,noun,
view,ver,verb,
Wales,"País de Gales",noun,país
Warning,Alerta,noun,
warning,atenção,interjection,
webhook,webhook,noun,masculino
website,site,noun,masculino
Wednesday,quarta-feira,noun,"dia de semana"
Welcome,Boas-vindas,noun,
welcome,boas-vindas,noun,
"West African CFA Franc","Franco CFA ocidental",noun,"Moeda de Benim, Burquina Fasso, Costa do Marfim, Guiné-Bissau, Mali, Níger, Senegal e Togo"
"Western Sahara","Saara Ocidental",noun,região
wide,amplo,noun,"Como em ""Wide line"" (Linha ampla)"
widget,widget,noun,masculino
WordPress,WordPress,noun,"Sempre com o ""P"" maiúsculo!"
workflow,"fluxo de trabalho",noun,
wrapper,invólucro,noun,
write,escrever,verb,"No contexto de banco de dados ou manipulação de arquivos, use ""gravar""."
Yemen,Iêmen,noun,país
"Yemeni Rial","Rial iemenita",noun,"Moeda do Iêmen"
"you are about to","você está prestes a",expression,
"you are not allowed to","sem permissão para",expression,
"you can just/only",basta,expression,
"you cannot to","sem permissão para",expression,
"you must have","deve ter",expression,
Zambia,Zâmbia,noun,país
"Zambian Kwacha","Kwacha zambiano",noun,"Moeda da Zâmbia"
Zimbabwe,Zimbábue,noun,país
"Zoom Out","Visão ampla",noun,"Modo de visualização do editor apresentado na versão 6.7. "
